id,geom,subway_500,natural_500
34415315,"40.67967,-73.99665",0,1
34415448,"40.70471,-74.0087",5,5
34415489,"40.79939,-73.96229",0,3
34415580,"40.74557,-74.00825",0,1
34415643,"40.71143,-73.94189",0,0
34415755,"40.75297,-73.93698",0,0
34415817,"40.81892,-73.8859",0,2
34416046,"40.68623,-73.92231",0,0
34416169,"40.6776,-73.91404",0,0
34416233,"40.75312,-73.8812",0,0
34416461,"40.67853,-73.91262",0,0
34416547,"40.75509,-73.93703",0,0
34416741,"40.75334,-73.93631",0,0
34416762,"40.6792,-73.91411",0,0
34416958,"40.67757,-73.91314",0,0
34417476,"40.7546,-73.93506",0,0
34417565,"40.58002,-73.96596",0,0
34417762,"40.75386,-73.93677",0,0
34417846,"40.7447,-73.97959",0,0
34418059,"40.7633,-73.9878",1,2
34418130,"40.71977,-73.98423",1,2
34418565,"40.74546,-73.93341",0,1
34418592,"40.68581,-73.90838",2,0
34419094,"40.75314,-73.93644",0,0
34419243,"40.75317,-73.93502",0,0
34419244,"40.75502,-73.9349",0,0
34419247,"40.75411,-73.93634",0,0
34419439,"40.70539,-73.90857",1,0
34419562,"40.71741,-73.95691",1,0
34419723,"40.71104,-73.90303",0,0
34419753,"40.75358,-73.93703",0,0
34419834,"40.76557,-73.98399",1,6
34419922,"40.7261,-73.95842",0,2
34420067,"40.68234,-73.97677",3,0
34420423,"40.72592,-73.98701",0,3
34420441,"40.71879,-73.95993",0,2
34420574,"40.83792,-73.85526",0,0
34420605,"40.66371,-73.94351",0,0
34420814,"40.67903,-73.91037",1,0
34421245,"40.85112,-73.93851",1,1
34421507,"40.76127,-73.98579",1,3
34421663,"40.71911,-73.98414",1,2
34422468,"40.73731,-74.00929",1,2
34422726,"40.8439,-73.78792",0,0
34423018,"40.74079,-73.97965",0,1
34424598,"40.86191,-73.92726",1,2
34425422,"40.75502,-73.81582",0,0
34427740,"40.75549,-73.82243",0,1
34428476,"40.70485,-74.00752",3,4
34429111,"40.74532,-73.97534",0,1
34429703,"40.80068,-73.94072",1,0
34432701,"40.68087,-73.92061",0,0
34433240,"40.89338,-73.84785",0,0
34435500,"40.74493,-74.00195",0,0
34436245,"40.77157,-73.99309",0,2
34438157,"40.66975,-73.92878",0,0
34438417,"40.8212,-73.95479",0,1
34439098,"40.59846,-73.99175",0,0
34439212,"40.73563,-73.99846",1,1
34439328,"40.59935,-73.99053",0,0
34440093,"40.8299,-73.94361",0,0
34441627,"40.64568,-73.96256",3,0
34441659,"40.68102,-73.91039",1,0
34442975,"40.68603,-73.8782",0,0
34443205,"40.61471,-74.06679",0,1
34443679,"40.69242,-73.79673",0,0
34444336,"40.80816,-73.93176",0,1
34444744,"40.88649,-73.85889",0,0
34444939,"40.67825,-73.92335",0,0
34446024,"40.77024,-73.99213",0,1
34446327,"40.76208,-73.97172",2,6
34446644,"40.79727,-73.96865",1,1
34446664,"40.6688,-73.74384",0,1
34446800,"40.70371,-73.92877",1,0
34446898,"40.80856,-73.93055",0,1
34446902,"40.74443,-73.99166",1,3
34447284,"40.76486,-73.99316",0,2
34447510,"40.71967,-73.9853",1,1
34447529,"40.78958,-73.9794",0,2
34448753,"40.81454,-73.94424",0,0
34449001,"40.69619,-73.92973",2,1
34449070,"40.74701,-73.89395",4,0
34449441,"40.67972,-73.9567",1,0
34449879,"40.77922,-73.90752",0,1
34450013,"40.69155,-73.92518",0,0
34451049,"40.72791,-73.98485",0,2
34451494,"40.76326,-73.98612",2,4
34453822,"40.75745,-73.98596",1,13
34453823,"40.75588,-73.987",1,17
34453824,"40.75575,-73.98736",2,16
34453826,"40.7575,-73.98728",1,11
34453828,"40.75679,-73.98726",1,16
34453829,"40.7559,-73.98562",1,18
34453830,"40.75612,-73.98622",1,18
34461661,"40.69628,-73.92627",1,0
34462649,"40.64196,-73.97088",0,0
34464380,"40.71083,-73.96736",0,2
34464505,"40.75865,-73.99",1,1
34465119,"40.70171,-73.94547",0,0
34465167,"40.81257,-73.94444",0,0
34465289,"40.6819,-73.89097",0,1
34466803,"40.69295,-73.94387",0,0
34467399,"40.64836,-74.00076",0,1
34468427,"40.76313,-73.99081",1,1
34468721,"40.63031,-73.89618",0,0
34470040,"40.6475,-74.01428",0,0
34470862,"40.71645,-73.95194",1,0
34470949,"40.74129,-74.00457",0,3
34470950,"40.74052,-74.0031",0,3
34470953,"40.73968,-74.00455",0,3
34470954,"40.74006,-74.00248",0,2
34471524,"40.71422,-73.9896",1,2
34472646,"40.75015,-73.86899",0,0
34473196,"40.70562,-74.00712",2,4
34473487,"40.73081,-73.98876",0,2
34473786,"40.68185,-73.92339",0,0
34473821,"40.76421,-73.99132",0,2
34474349,"40.75634,-73.99332",2,0
34475000,"40.67898,-73.95725",2,0
34475551,"40.68305,-73.97503",3,1
34475553,"40.68435,-73.92027",0,0
34476591,"40.70612,-73.9264",0,1
34477538,"40.71815,-73.96412",0,3
34477772,"40.69621,-73.93467",1,1
34477790,"40.66814,-73.8953",0,0
34478107,"40.75732,-73.95314",1,3
34478114,"40.72923,-73.98735",0,2
34478311,"40.68184,-73.99359",0,1
34478598,"40.75098,-73.84695",0,5
34478718,"40.76094,-73.97318",2,13
34478719,"40.81396,-73.94488",0,0
34478766,"40.66983,-73.89411",0,0
34479102,"40.71032,-73.9614",0,0
34479640,"40.73098,-73.99361",1,1
34479995,"40.66929,-73.89421",0,0
34480144,"40.66816,-73.89577",0,0
34481124,"40.68574,-73.99421",0,0
34482823,"40.71955,-73.99115",1,2
34482998,"40.72654,-73.86077",0,0
34483343,"40.7647,-73.97452",0,12
34483424,"40.76393,-73.97594",1,14
34483425,"40.76443,-73.97588",1,13
34483426,"40.76425,-73.97642",1,14
34483427,"40.76471,-73.97454",0,12
34483430,"40.76535,-73.97556",1,12
34483431,"40.76395,-73.97622",1,14
34483432,"40.76427,-73.97618",1,14
34483433,"40.7649,-73.97602",1,13
34483434,"40.76476,-73.9762",1,13
34483436,"40.76459,-73.97416",0,11
34483439,"40.76393,-73.9758",1,14
34483440,"40.76443,-73.97478",0,12
34483443,"40.76559,-73.97632",1,12
34485281,"40.72243,-74.0043",0,0
34485282,"40.72372,-74.00408",0,0
34485283,"40.72172,-74.00436",0,0
34485284,"40.72174,-74.00354",0,0
34485285,"40.72324,-74.00401",0,0
34485286,"40.7239,-74.00379",0,0
34485289,"40.72353,-74.00409",0,0
34485317,"40.76476,-73.98246",1,9
34485694,"40.76555,-73.98478",1,4
34485697,"40.76413,-73.98431",1,8
34485698,"40.76352,-73.9828",1,8
34485699,"40.76479,-73.98307",1,7
34485702,"40.76413,-73.98435",1,8
34485737,"40.75625,-73.98434",1,18
34485738,"40.75466,-73.98487",3,16
34485739,"40.75481,-73.9856",3,16
34485740,"40.75597,-73.98395",3,21
34485741,"40.75645,-73.985",1,18
34485742,"40.75628,-73.98356",3,22
34485745,"40.75491,-73.98507",3,16
34485746,"40.75631,-73.98383",3,21
34485747,"40.75623,-73.98356",3,22
34486925,"40.76581,-73.9835",1,6
34487108,"40.76555,-73.98272",1,7
34487247,"40.76574,-73.98201",1,8
34487373,"40.76547,-73.98252",1,8
34487491,"40.76368,-73.98225",1,9
34489385,"40.76156,-73.98471",1,5
34489569,"40.77424,-73.95322",0,1
34489715,"40.76251,-73.98455",2,6
34489717,"40.76248,-73.98584",2,3
34489718,"40.76237,-73.98442",2,6
34489721,"40.76246,-73.98396",2,9
34489723,"40.76179,-73.98589",1,3
34489725,"40.76179,-73.98399",1,8
34489727,"40.76187,-73.98413",1,6
34489729,"40.76134,-73.98456",1,5
34490350,"40.75608,-73.98915",2,6
34490351,"40.75633,-73.98922",2,6
34490353,"40.75612,-73.98864",2,6
34490354,"40.75513,-73.98772",3,11
34490356,"40.75615,-73.98803",1,6
34490357,"40.75609,-73.98724",1,16
34490359,"40.75449,-73.98737",3,16
34490360,"40.75657,-73.9881",1,6
34490361,"40.75471,-73.98781",3,10
34490362,"40.75513,-73.98784",3,9
